,symbol,id,orderId,orderListId,price,qty,quoteQty,commission,commissionAsset,time,isBuyer,isMaker,isBestMatch,readable time
50,ETHUSDT,488519588,4653459826,-1,2400.00000000,0.04958000,118.99200000,0.00004958,ETH,1623946090086,True,True,True,2021-06-18 00:08:10
51,ETHUSDT,489138752,4653454219,-1,2300.00000000,0.05174000,119.00200000,0.00005174,ETH,1624010046378,True,True,True,2021-06-18 17:54:06
44,BTCUSDT,917224765,6507021343,-1,36200.00000000,0.00374600,135.60520000,0.00000375,BTC,1624039200303,True,True,True,2021-06-19 02:00:00
52,ETHUSDT,490743918,4682633225,-1,2162.72000000,0.06439000,139.25754080,0.00006439,ETH,1624150570561,True,True,True,2021-06-20 08:56:10
45,BTCUSDT,919529724,6530483070,-1,33782.01000000,0.00225900,76.31356059,0.00000226,BTC,1624190677006,True,True,True,2021-06-20 20:04:37
53,ETHUSDT,492827900,4653476261,-1,1900.00000000,0.07042000,133.79800000,0.00007042,ETH,1624274928108,True,True,True,2021-06-21 19:28:48
46,BTCUSDT,922206435,6549996188,-1,32525.17000000,0.00234500,76.27152365,0.00000235,BTC,1624278973089,True,True,True,2021-06-21 20:36:13
54,ETHUSDT,493072789,4708213010,-1,1954.99000000,0.10204000,199.48717960,0.00010204,ETH,1624281539311,True,False,True,2021-06-21 21:18:59
47,BTCUSDT,922579661,6550745448,-1,32200.00000000,0.00747500,240.69500000,0.00000748,BTC,1624293362264,True,True,True,2021-06-22 00:36:02
55,ETHUSDT,493543138,4709561620,-1,1900.00000000,0.13753000,261.30700000,0.00013753,ETH,1624310151253,True,True,True,2021-06-22 05:15:51
48,BTCUSDT,922914996,6550738535,-1,31800.00000000,0.01009200,320.92560000,0.00001009,BTC,1624310190449,True,True,True,2021-06-22 05:16:30
56,ETHUSDT,493802878,4715964352,-1,1861.59000000,0.07012000,130.53469080,0.00007012,ETH,1624321486515,True,False,True,2021-06-22 08:24:46
57,ETHUSDT,494256817,4722794630,-1,1865.00000000,0.07011000,130.75515000,0.00007011,ETH,1624355118146,True,True,True,2021-06-22 17:45:18
58,ETHUSDT,518492547,5005152689,-1,1892.07000000,0.08033000,151.98998310,0.00008033,ETH,1626239965310,True,True,True,2021-07-14 13:19:25
49,BTCUSDT,955203581,6825354830,-1,31900.00000000,0.00635200,202.62880000,0.00000635,BTC,1626240181159,True,True,True,2021-07-14 13:23:01
59,ETHUSDT,521858258,5045732857,-1,1880.00000000,0.13614000,255.94320000,0.00013614,ETH,1626624140260,True,True,True,2021-07-19 00:02:20
0,ETHBTC,284807883,2057581983,-1,0.06068000,0.09600000,0.00582528,0.00009600,ETH,1627274025766,True,True,True,2021-07-26 12:33:45
1,ETHBTC,284808031,2057582445,-1,0.06060000,0.03900000,0.00236340,0.00003900,ETH,1627274067569,True,True,True,2021-07-26 12:34:27
2,ETHBTC,284808032,2057582445,-1,0.06060000,0.05000000,0.00303000,0.00005000,ETH,1627274067828,True,True,True,2021-07-26 12:34:27
3,ETHBTC,284808040,2057585447,-1,0.06059000,0.06700000,0.00405953,0.00006700,ETH,1627274068963,True,True,True,2021-07-26 12:34:28
4,ETHBTC,284921970,2057586874,-1,0.06040000,0.08000000,0.00483200,0.00008000,ETH,1627317549180,True,True,True,2021-07-27 00:39:09
5,ETHBTC,285027290,2057583086,-1,0.05900000,0.07300000,0.00430700,0.00007300,ETH,1627348782314,True,True,True,2021-07-27 09:19:42
6,ETHBTC,285253638,2057181327,-1,0.05800000,1.26100000,0.07313800,0.00126100,ETH,1627436596513,True,True,True,2021-07-28 09:43:16
7,ETHBTC,285282937,2066176532,-1,0.05750000,0.42300000,0.02432250,0.00042300,ETH,1627445766255,True,True,True,2021-07-28 12:16:06
60,ADAUSDT,244068897,2104700131,-1,2.12190000,94.25000000,199.98907500,0.09425000,ADA,1629166862560,True,True,True,2021-08-17 10:21:02
