Date(UTC),Market,Type,Price,Amount,Total,Fee,Fee Coin
2021-06-08 14:51:57,BTCUSDT,BUY,31700,0.004534,143.72780000,0.00000453,BTC
2021-06-08 05:21:02,BTCUSDT,BUY,32790,0.005536,181.52544000,0.00000554,BTC
2021-06-08 02:27:03,BTCUSDT,BUY,33636.72,0.005164,173.70002208,0.00000516,BTC
2021-06-07 20:48:29,BTCUSDT,BUY,34900,0.006913,241.26370000,0.00000691,BTC
2021-05-19 01:46:55,BTCUSDT,BUY,41000,0.004208,172.52800000,0.00000421,BTC
2021-05-17 16:56:05,BTCUSDT,BUY,42650,0.003223,137.46095000,0.00000322,BTC
2021-05-17 16:11:12,BTCUSDT,BUY,43000,0.004633,199.21900000,0.00000463,BTC
2021-05-17 15:35:52,BTCUSDT,BUY,43700,0.003949,172.57130000,0.00000395,BTC
2021-05-17 14:35:51,BTCUSDT,BUY,43900,0.002621,115.06190000,0.00000262,BTC
2021-05-17 14:15:51,BTCUSDT,BUY,44200,0.006009,265.59780000,0.00000601,BTC
2021-05-17 14:11:57,BTCUSDT,BUY,44500,0.001145,50.95250000,0.00000115,BTC
2021-05-17 13:27:55,BTCUSDT,BUY,44720,0.002202,98.47344000,0.0000022,BTC
2021-05-17 13:27:54,BTCUSDT,BUY,44723.01,0.001651,73.83768951,0.00000165,BTC
2021-05-17 09:39:34,BTCUSDT,SELL,45180,0.000339,15.31602000,0.01531602,USDT
2021-05-17 06:16:04,BTCUSDT,SELL,45300,0.003055,138.39150000,0.1383915,USDT
2021-05-17 06:15:03,BTCUSDT,SELL,45000,0.003394,152.73000000,0.15273,USDT
2021-05-17 06:14:45,BTCUSDT,SELL,44943.28,0.006788,305.07498464,0.30507498,USDT
2021-05-17 06:13:51,BTCUSDT,SELL,44820,0.004526,202.85532000,0.20285532,USDT
2021-05-17 06:12:43,BTCUSDT,SELL,44800,0.006034,270.32320000,0.2703232,USDT
2021-05-17 06:09:56,BTCUSDT,SELL,44835.99,0.004512,202.29998688,0.20229999,USDT
2021-05-17 03:57:26,BTCUSDT,BUY,42980,0.004685,201.36130000,0.00000469,BTC
2021-05-17 03:56:17,BTCUSDT,BUY,43100,0.004672,201.36320000,0.00000467,BTC
2021-05-17 03:54:21,BTCUSDT,BUY,43350,0.000632,27.39720000,0.00000063,BTC
2021-05-17 03:54:21,BTCUSDT,BUY,43350,0.008097,351.00495000,0.0000081,BTC
2021-05-17 03:54:21,BTCUSDT,BUY,43350,0.000562,24.36270000,0.00000056,BTC
