Date(UTC),Market,Type,Price,Amount,Total,Fee,Fee Coin
2021-07-26 04:34:28,ETHBTC,BUY,0.06059,0.067,0.00405953,0.000067,ETH
2021-07-26 04:34:27,ETHBTC,BUY,0.0606,0.05,0.00303000,0.00005,ETH
2021-07-26 04:34:27,ETHBTC,BUY,0.0606,0.039,0.00236340,0.000039,ETH
2021-07-26 04:33:45,ETHBTC,BUY,0.06068,0.096,0.00582528,0.000096,ETH
2021-07-18 16:02:20,ETHUSDT,BUY,1880,0.13614,255.94320000,0.00013614,ETH
2021-07-14 05:23:01,BTCUSDT,BUY,31900,0.006352,202.62880000,0.00000635,BTC
2021-07-14 05:19:25,ETHUSDT,BUY,1892.07,0.08033,151.98998310,0.00008033,ETH
2021-06-22 09:45:18,ETHUSDT,BUY,1865,0.07011,130.75515000,0.00007011,ETH
2021-06-22 00:24:46,ETHUSDT,BUY,1861.59,0.07012,130.53469080,0.00007012,ETH
2021-06-21 21:16:30,BTCUSDT,BUY,31800,0.010092,320.92560000,0.00001009,BTC
2021-06-21 21:15:51,ETHUSDT,BUY,1900,0.13753,261.30700000,0.00013753,ETH
2021-06-21 16:36:02,BTCUSDT,BUY,32200,0.007475,240.69500000,0.00000748,BTC
2021-06-21 13:18:59,ETHUSDT,BUY,1954.99,0.10204,199.48717960,0.00010204,ETH
2021-06-21 12:36:13,BTCUSDT,BUY,32525.17,0.002345,76.27152365,0.00000235,BTC
2021-06-21 11:28:48,ETHUSDT,BUY,1900,0.07042,133.79800000,0.00007042,ETH
2021-06-20 12:04:37,BTCUSDT,BUY,33782.01,0.002259,76.31356059,0.00000226,BTC
2021-06-20 00:56:10,ETHUSDT,BUY,2162.72,0.06439,139.25754080,0.00006439,ETH
2021-06-18 18:00:00,BTCUSDT,BUY,36200,0.003746,135.60520000,0.00000375,BTC
2021-06-18 09:54:06,ETHUSDT,BUY,2300,0.05174,119.00200000,0.00005174,ETH
2021-06-17 16:08:10,ETHUSDT,BUY,2400,0.04958,118.99200000,0.00004958,ETH
2021-06-14 14:06:44,BTCUSDT,BUY,40539.99,0.008422,341.42779578,0.00000842,BTC
2021-06-14 14:06:44,BTCUSDT,BUY,40534.96,0.004681,189.74414776,0.00000468,BTC
2021-06-14 14:06:44,BTCUSDT,BUY,40537.95,0.009,364.84155000,0.000009,BTC
2021-06-14 14:06:44,BTCUSDT,BUY,40537.95,0.011846,480.21255570,0.00001185,BTC
2021-06-14 14:06:44,BTCUSDT,BUY,40537.76,0.001479,59.95534704,0.00000148,BTC
2021-06-10 10:04:09,BTCUSDT,SELL,38300,0.002715,103.98450000,0.1039845,USDT
2021-06-10 10:02:52,BTCUSDT,SELL,37800,0.005429,205.21620000,0.2052162,USDT
2021-06-10 03:51:42,BTCUSDT,SELL,37050,0.000623,23.08215000,0.02308215,USDT
2021-06-10 03:51:42,BTCUSDT,SELL,37050,0.000702,26.00910000,0.0260091,USDT
2021-06-10 03:51:42,BTCUSDT,SELL,37050,0.006734,249.49470000,0.2494947,USDT
2021-06-10 03:51:41,BTCUSDT,SELL,37050,0.003235,119.85675000,0.11985675,USDT
